"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","TMAX","TMIN","WDF2"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-16","1.6","0.0","21.7","11.1","  170"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-17","1.9","0.0","23.9","12.2","  150"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-18","2.2","0.3","19.4","7.2","  270"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-19","2.8","5.1","13.9","9.4","  140"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-20","7.1","97.8","11.1","8.3","  130"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-21","1.5","3.0","11.7","6.1","  260"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-22","1.5","0.0","15.0","5.0","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-23","2.0","8.1","13.9","4.4","  250"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-24","2.6","2.3","14.4","5.0","  220"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-25","2.6","10.4","15.0","8.9","  160"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-26","1.8","0.0","12.8","7.8","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-27","2.1","1.5","17.2","10.0","  190"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-28","1.4","0.0","18.9","7.2","  170"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-29","1.2","0.0","25.0","8.3","  120"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-30","1.5","0.0","29.4","11.7","  150"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-31","1.4","0.0","33.9","14.4","  140"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-01","2.2","0.0","31.7","15.0","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-02","2.6","0.0","20.0","13.3","  200"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-03","1.9","0.0","18.9","12.8","  200"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-04","1.6","0.0","27.8","10.0","  170"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-05","2.4","0.0","25.6","11.1","  160"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-06","2.3","0.0","21.1","12.8","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-07","4.2","0.0","16.7","8.3","  260"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-08","3.1","0.0","12.8","5.0","  220"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-09","2.2","0.0","15.0","3.9","  210"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-10","1.4","0.0","19.4","6.1","  190"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-11","1.7","0.0","23.3","8.9","  270"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-12","3.0","0.0","21.1","10.0","  160"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-13","3.0","0.0","17.2","11.1","  350"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-14","3.2","0.0","26.1","8.3","  330"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-15","3.0","0.0","31.1","12.2","  330"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-16","1.7","0.0","32.8","15.0","  160"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-17","3.0","0.0","26.1","15.0","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-18","2.1","0.0","17.8","13.3","  190"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-19","2.4","0.0","21.1","12.2","  190"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-20","2.1","0.0","20.6","13.3","  160"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-21","2.2","0.0","20.6","11.7","  190"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-22","2.6","0.0","20.6","12.8","  190"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-23","2.3","0.0","20.6","12.8","  170"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-24","2.8","0.0","19.4","12.8","  170"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-25","2.4","0.0","24.4","10.6","  350"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-26","6.2","0.0","28.3","13.9","  260"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-27","2.6","0.0","30.0","15.0","  320"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-28","2.7","0.0","27.8","15.6","  150"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-29","3.8","0.0","25.6","12.8","  330"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-30","3.8","0.0","25.6","11.1","   20"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-01","3.7","0.0","28.3","12.8","  360"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-02","2.2","0.0","30.0","12.2","  200"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-03","2.0","0.0","33.3","15.6","  220"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-04","2.1","0.0","33.9","16.7","  110"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-05","2.4","0.0","31.1","14.4","  140"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-06","2.8","0.0","25.0","12.8","  190"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-07","3.0","0.0","20.6","13.3","  190"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-08","3.9","0.0","18.9","12.8","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-09","3.6","0.0","17.8","11.7","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-10","2.6","0.0","20.0","8.9","  160"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-11","2.0","0.0","22.8","10.6","  210"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-12","1.9","0.0","27.2","12.2","  110"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-13","2.6","0.0","25.6","13.9","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-14","3.4","0.0","18.9","13.3","  160"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-15","3.7","1.5","18.3","10.0","  250"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-16","2.7","0.0","17.2","8.3","  200"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-17","4.4","4.1","17.2","9.4","  140"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-18","2.4","4.1","18.3","10.0","  260"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-19","2.2","0.0","20.6","8.9","  210"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-20","2.6","0.0","22.2","10.6","  160"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-21","2.8","0.0","24.4","12.2","  120"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-22","2.2","0.0","20.6","13.3","  210"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-23","3.1","0.0","19.4","12.2","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-24","2.1","0.0","22.2","10.0","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-25","2.2","0.0","24.4","11.7","  160"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-26","2.9","0.0","22.8","12.2","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-27","2.9","0.0","25.0","13.3","  130"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-28","3.7","0.0","22.8","12.8","  170"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-29","4.6","0.0","21.1","11.7","  330"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-30","2.3","0.0","25.0","10.6","  220"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-05-31","2.2","0.0","24.4","11.1","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-01","2.8","0.0","21.1","10.6","  160"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-02","2.8","0.0","26.7","10.6","  280"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-03","3.0","0.0","23.9","12.8","  160"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-04","3.4","0.0","20.6","12.8","  200"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-05","3.0","0.0","22.8","12.2","  210"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-06","1.5","0.0","21.7","13.3","  150"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-07","2.6","0.0","22.8","12.2","  170"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-08","2.1","0.0","20.0","13.9","  220"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-09","2.1","0.0","21.7","13.3","  170"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-10","2.3","0.0","21.7","13.3","  160"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-11","2.1","0.0","21.1","13.9","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-12","2.0","0.0","21.7","13.3","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-13","2.4","0.0","24.4","13.3","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-14","2.6","0.0","27.8","13.9","  130"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-15","3.1","0.0","26.7","14.4","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-16","2.7","0.0","22.8","14.4","  170"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-17","2.6","0.0","22.2","14.4","  170"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-18","2.0","0.0","24.4","13.9","  170"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-19","2.4","0.0","21.7","13.9","  170"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-20","2.7","0.0","30.0","14.4","  110"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-21","2.6","0.0","32.8","14.4","  120"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-22","3.1","0.0","30.0","15.0","  120"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-23","3.2","0.0","28.3","15.0","  190"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-24","2.8","0.0","26.7","16.7","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-25","2.8","0.0","28.3","15.6","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-26","2.4","0.0","28.9","14.4","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-27","2.4","0.0","31.1","16.1","  170"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-28","3.4","0.0","26.7","16.1","  170"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-06-29","2.8","0.0","25.6","15.6","  160"
